onet_soc_code,task_id,task_statement
17-2021.00,5330,Conduct educational programs that provide farmers or farm cooperative members with information that can help them improve agricultural productivity.
17-2021.00,5338,"Design sensing, measuring, and recording devices, and other instrumentation used to study plant or animal life."
17-2021.00,5326,"Design agricultural machinery components and equipment, using computer-aided design (CAD) technology."
17-2021.00,5333,Design and supervise environmental and land reclamation projects in agriculture and related industries.
17-2021.00,5335,Design food processing plants and related mechanical systems.
17-2021.00,5332,Supervise food processing or manufacturing plant operations.
17-2031.00,8968,"Evaluate the safety, efficiency, and effectiveness of biomedical equipment."
17-2031.00,21856,"Prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications."
17-2031.00,21847,"Design or develop medical diagnostic or clinical instrumentation, equipment, or procedures, using the principles of engineering and biobehavioral sciences."
17-2031.00,8975,"Conduct research, along with life scientists, chemists, and medical scientists, on the engineering aspects of the biological systems of humans and animals."
17-2031.00,8979,Adapt or design computer hardware or software for medical science uses.
17-2031.00,21853,Maintain databases of experiment characteristics or results.
17-2031.00,21851,"Develop statistical models or simulations, using statistical or modeling software."
17-2031.00,21857,"Read current scientific or trade literature to stay abreast of scientific, industrial, or technological advances."
17-2031.00,21854,"Manage teams of engineers by creating schedules, tracking inventory, creating or using budgets, or overseeing contract obligations or deadlines."
17-2031.00,8973,Develop models or computer simulations of human biobehavioral systems to obtain data for measuring or controlling life processes.
17-2031.00,21846,"Design or conduct follow-up experimentation, based on generated data, to meet established process objectives."
17-2031.00,18604,"Write documents describing protocols, policies, standards for use, maintenance, and repair of medical equipment."
17-2031.00,21841,Communicate with bioregulatory authorities regarding licensing or compliance responsibilities.
17-2031.00,21850,Develop methodologies for transferring procedures or biological processes from laboratories to commercial-scale manufacturing production.
17-2031.00,21840,"Collaborate with manufacturing or quality assurance staff to prepare product specification or safety sheets, standard operating procedures, user manuals, or qualification and validation reports."
17-2031.00,8972,"Research new materials to be used for products, such as implanted artificial organs."
17-2031.00,21855,"Prepare project plans for equipment or facility improvements, including time lines, budgetary estimates, or capital spending requests."
17-2031.00,21844,Consult with chemists or biologists to develop or evaluate novel technologies.
17-2031.00,21843,Confer with research and biomanufacturing personnel to ensure the compatibility of design and production.
17-2031.00,21858,"Recommend process formulas, instrumentation, or equipment specifications, based on results of bench or pilot experimentation."
17-2031.00,21842,"Communicate with suppliers regarding the design or specifications of bioproduction equipment, instrumentation, or materials."
17-2031.00,18603,Conduct training or in-services to educate clinicians and other personnel on proper use of equipment.
17-2031.00,8970,"Advise hospital administrators on the planning, acquisition, and use of medical equipment."
17-2031.00,8980,Analyze new medical procedures to forecast likely outcomes.
17-2031.00,21845,"Design and deliver technology, such as prosthetic devices, to assist people with disabilities."
17-2031.00,21839,"Advise manufacturing staff regarding problems with fermentation, filtration, or other bioproduction processes."
17-2031.00,21859,Review existing manufacturing processes to identify opportunities for yield improvement or reduced process variation.
17-2031.00,21849,"Develop bioremediation processes to reduce pollution, protect the environment, or treat waste products."
17-2031.00,21852,Lead studies to examine or recommend changes in process sequences or operation protocols.
17-2031.00,21848,Design or direct bench or pilot production experiments to determine the scale of production methods that optimize product yield and minimize production costs.
17-2041.00,3552,Develop safety procedures to be employed by workers operating equipment or working in close proximity to ongoing chemical reactions.
17-2041.00,18471,Troubleshoot problems with chemical manufacturing processes.
17-2041.00,20955,Monitor and analyze data from processes and experiments.
17-2041.00,18472,Evaluate chemical equipment and processes to identify ways to optimize performance or to ensure compliance with safety and environmental regulations.
17-2041.00,3560,Design and plan layout of equipment.
17-2041.00,3554,Prepare estimate of production costs and production progress reports for management.
17-2041.00,18473,"Perform tests and monitor performance of processes throughout stages of production to determine degree of control over variables such as temperature, density, specific gravity, and pressure."
17-2041.00,3558,Conduct research to develop new and improved chemical manufacturing processes.
17-2041.00,3553,"Determine most effective arrangement of operations such as mixing, crushing, heat transfer, distillation, and drying."
17-2041.00,3557,"Develop processes to separate components of liquids or gases or generate electrical currents, using controlled chemical processes."
17-2041.00,3559,Design measurement and control systems for chemical plants based on data collected in laboratory experiments and in pilot plant operations.
17-2041.00,3556,"Perform laboratory studies of steps in manufacture of new products and test proposed processes in small-scale operation, such as a pilot plant."
17-2041.00,24003,Develop computer models of chemical processes.
17-2041.00,3555,"Direct activities of workers who operate or are engaged in constructing and improving absorption, evaporation, or electromagnetic equipment."
17-2051.00,19610,"Direct engineering activities, ensuring compliance with environmental, safety, or other governmental regulations."
17-2051.00,20490,"Manage and direct the construction, operations, or maintenance activities at project site."
17-2051.00,148,Inspect project sites to monitor progress and ensure conformance to design specifications and safety or sanitation standards.
17-2051.00,147,"Compute load and grade requirements, water flow rates, or material stress factors to determine design specifications."
17-2051.00,20491,"Plan and design transportation or hydraulic systems or structures, using computer-assisted design or drawing tools."
17-2051.00,20489,"Provide technical advice to industrial or managerial personnel regarding design, construction, program modifications, or structural repairs."
17-2051.00,20492,"Analyze survey reports, maps, drawings, blueprints, aerial photography, or other topographical or geologic data."
17-2051.00,150,"Direct or participate in surveying to lay out installations or establish reference points, grades, or elevations to guide construction."
17-2051.00,151,"Estimate quantities and cost of materials, equipment, or labor to determine project feasibility."
17-2051.00,152,"Prepare or present public reports on topics such as bid proposals, deeds, environmental impact statements, or property and right-of-way descriptions."
17-2051.00,19607,Design energy-efficient or environmentally sound civil structures.
17-2051.00,153,"Test soils or materials to determine the adequacy and strength of foundations, concrete, asphalt, or steel."
17-2051.00,19611,Identify environmental risks and develop risk management strategies for civil engineering projects.
17-2051.00,155,Conduct studies of traffic patterns or environmental conditions to identify engineering problems and assess potential project impact.
17-2051.00,19609,Develop or implement engineering solutions to clean up industrial accidents or other contaminated sites.
17-2051.00,19608,"Design or engineer systems to efficiently dispose of chemical, biological, or other toxic wastes."
17-2051.01,16323,"Design or prepare plans for new transportation systems or parts of systems, such as airports, commuter trains, highways, streets, bridges, drainage structures, or roadway lighting."
17-2051.01,16320,"Check construction plans, design calculations, or cost estimations to ensure completeness, accuracy, or conformity to engineering standards or practices."
17-2051.01,16305,"Prepare administrative, technical, or statistical reports on traffic-operation matters, such as accidents, safety measures, or pedestrian volume or practices."
17-2051.01,16311,Plan alteration or modification of existing transportation structures to improve safety or function.
17-2051.01,16319,"Confer with contractors, utility companies, or government agencies to discuss plans, specifications, or work schedules."
17-2051.01,16303,"Present data, maps, or other information at construction-related public hearings or meetings."
17-2051.01,16310,Prepare final project layout drawings that include details such as stress calculations.
17-2051.01,16314,Investigate traffic problems and recommend methods to improve traffic flow or safety.
17-2051.01,16318,Estimate transportation project costs.
17-2051.01,19612,"Design or engineer drainage, erosion, or sedimentation control systems for transportation projects."
17-2051.01,16307,Evaluate traffic control devices or lighting systems to determine need for modification or expansion.
17-2051.01,16309,"Prepare project budgets, schedules, or specifications for labor or materials."
17-2051.01,16316,Inspect completed transportation projects to ensure safety or compliance with applicable standards or regulations.
17-2051.01,16304,Review development plans to determine potential traffic impact.
17-2051.01,16306,Evaluate transportation systems or traffic control devices or lighting systems to determine need for modification or expansion.
17-2051.01,16321,Analyze environmental impact statements for transportation projects.
17-2051.01,16322,Supervise the maintenance or repair of transportation systems or system components.
17-2051.01,16313,Model transportation scenarios to evaluate the impacts of activities such as new development or to identify possible solutions to transportation problems.
17-2051.01,19616,Inspect completed transportation projects to ensure compliance with environmental regulations.
17-2051.01,16312,"Participate in contract bidding, negotiation, or administration."
17-2051.01,19615,Evaluate construction project materials for compliance with environmental standards.
17-2051.01,16317,"Direct the surveying, staking, or laying-out of construction projects."
17-2051.01,19613,"Design transportation systems or structures with sustainable materials or products, such as porous pavement or bioretention structures."
17-2051.01,16315,Investigate or test specific construction project materials to determine compliance to specifications or standards.
17-2051.01,16308,Develop or assist in the development of transportation-related computer software or computer processes.
17-2051.01,19614,Develop plans to deconstruct damaged or obsolete roadways or other transportation structures in a manner that is environmentally sound or prepares the land for sustainable development.
17-2051.02,16327,"Provide technical direction or supervision to junior engineers, engineering or computer-aided design (CAD) technicians, or other technical personnel."
17-2051.02,16325,"Review and critique proposals, plans, or designs related to water or wastewater treatment systems."
17-2051.02,16350,"Design domestic or industrial water or wastewater treatment plants, including advanced facilities with sequencing batch reactors (SBR), membranes, lift stations, headworks, surge overflow basins, ultraviolet disinfection systems, aerobic digesters, sludge lagoons, or control buildings."
17-2051.02,21166,Evaluate the operation and maintenance of water or wastewater systems to identify ways to improve their efficiency.
17-2051.02,16330,Design or select equipment for use in wastewater processing to ensure compliance with government standards.
17-2051.02,16349,"Design pumping systems, pumping stations, pipelines, force mains, or sewers for the collection of wastewater."
17-2051.02,16347,Design water distribution systems for potable or non-potable water.
17-2051.02,16331,Conduct water quality studies to identify and characterize water pollutant sources.
17-2051.02,16343,"Analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use."
17-2051.02,16328,Identify design alternatives for the development of new water resources.
17-2051.02,16345,"Design water runoff collection networks, water supply channels, or water supply system networks."
17-2051.02,16346,"Design water or wastewater lift stations, including water wells."
17-2051.02,16339,"Conduct cost-benefit analyses for the construction of water supply systems, runoff collection networks, water and wastewater treatment plants, or wastewater collection systems."
17-2051.02,16326,Provide technical support on water resource or treatment issues to government agencies.
17-2051.02,16337,"Conduct feasibility studies for the construction of facilities, such as water supply systems, runoff collection networks, water and wastewater treatment plants, or wastewater collection systems."
17-2051.02,16341,"Analyze storm water or floodplain drainage systems to control erosion, stabilize river banks, repair channel streams, or design bridges."
17-2051.02,16335,"Oversee the construction of decentralized or on-site wastewater treatment systems, including reclaimed water facilities."
17-2051.02,16329,Develop plans for new water resources or water efficiency programs.
17-2051.02,16333,"Perform hydrological analyses, using three-dimensional simulation software, to model the movement of water or forecast the dispersion of chemical pollutants in the water supply."
17-2051.02,16334,"Perform hydraulic analyses of water supply systems or water distribution networks to model flow characteristics, test for pressure losses, or to identify opportunities to mitigate risks and improve operational efficiency."
17-2051.02,16324,Write technical reports or publications related to water resources development or water use efficiency.
17-2051.02,16344,Design water storage tanks or other water storage facilities.
17-2051.02,16342,Analyze and recommend sludge treatment or disposal methods.
17-2051.02,16348,Design sludge treatment plants.
17-2051.02,16336,Gather and analyze water use data to forecast water demand.
17-2051.02,16338,"Conduct environmental impact studies related to water and wastewater collection, treatment, or distribution."
17-2051.02,16340,"Analyze the efficiency of water delivery structures, such as dams, tainter gates, canals, pipes, penstocks, or cofferdams."
17-2051.02,16332,"Perform mathematical modeling of underground or surface water resources, such as floodplains, ocean coastlines, streams, rivers, or wetlands."
17-2061.00,7391,Update knowledge and skills to keep up with rapid advancements in computer technology.
17-2061.00,7407,"Design and develop computer hardware and support peripherals, including central processing units (CPUs), support logic, microprocessors, custom integrated circuits, and printers and disk drives."
17-2061.00,7399,Confer with engineering staff and consult specifications to evaluate interface between hardware and software and operational and performance requirements of overall system.
17-2061.00,7396,"Build, test, and modify product prototypes, using working models or theoretical models constructed with computer simulation."
17-2061.00,7402,Write detailed functional specifications that document the hardware development process and support hardware introduction.
17-2061.00,7393,"Test and verify hardware and support peripherals to ensure that they meet specifications and requirements, by recording and analyzing test data."
17-2061.00,7398,"Direct technicians, engineering designers or other technical support personnel as needed."
17-2061.00,7392,"Provide technical support to designers, marketing and sales departments, suppliers, engineers and other team members throughout the product development and implementation process."
17-2061.00,7400,"Select hardware and material, assuring compliance with specifications and product requirements."
17-2061.00,7401,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements."
17-2061.00,7397,Analyze user needs and recommend appropriate hardware.
17-2061.00,7406,"Evaluate factors such as reporting formats required, cost constraints, and need for security restrictions to determine hardware configuration."
17-2061.00,7404,Provide training and support to system designers and users.
17-2061.00,7394,Monitor functioning of equipment and make necessary modifications to ensure system operates in conformance with specifications.
17-2061.00,7403,"Specify power supply requirements and configuration, drawing on system performance expectations and design specifications."
17-2061.00,7405,Assemble and modify existing pieces of equipment to meet special needs.
17-2061.00,7395,"Analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications."
17-2061.00,7408,"Recommend purchase of equipment to control dust, temperature, and humidity in area of system installation."
17-2071.00,1348,"Design, implement, maintain, or improve electrical instruments, equipment, facilities, components, products, or systems for commercial, industrial, or domestic purposes."
17-2071.00,1357,Oversee project production efforts to assure projects are completed on time and within budget.
17-2071.00,1350,"Direct or coordinate manufacturing, construction, installation, maintenance, support, documentation, or testing activities to ensure compliance with specifications, codes, or customer requirements."
17-2071.00,1351,"Perform detailed calculations to compute and establish manufacturing, construction, or installation standards or specifications."
17-2071.00,1349,Operate computer-assisted engineering or design software or equipment to perform engineering tasks.
17-2071.00,1347,"Confer with engineers, customers, or others to discuss existing or potential engineering projects or products."
17-2071.00,1356,Investigate or test vendors' or competitors' products.
17-2071.00,20731,"Inspect completed installations and observe operations to ensure conformance to design and equipment specifications and compliance with operational, safety, or environmental standards."
17-2071.00,20730,Investigate customer or public complaints to determine the nature and extent of problems.
17-2071.00,1358,"Prepare technical drawings, specifications of electrical systems, or topographical maps to ensure that installation and operations conform to standards and customer requirements."
17-2071.00,1363,Compile data and write reports regarding existing or potential electrical engineering studies or projects.
17-2071.00,1354,Prepare specifications for purchases of materials or equipment.
17-2071.00,20729,"Estimate labor, material, or construction costs for budget preparation purposes."
17-2071.00,1353,Plan or implement research methodology or procedures to apply principles of electrical theory to engineering projects.
17-2071.00,1355,"Supervise or train project team members, as necessary."
17-2071.00,1361,Assist in developing capital project programs for new equipment or major repairs.
17-2071.00,1364,"Collect data relating to commercial or residential development, population, or power system interconnection to determine operating efficiency of electrical systems."
17-2071.00,19618,"Develop systems that produce electricity with renewable energy sources, such as wind, solar, or biofuels."
17-2071.00,23956,Develop software to control electrical systems.
17-2071.00,19619,Integrate electrical systems with renewable energy systems to improve overall efficiency.
17-2071.00,1365,"Conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems."
17-2071.00,19617,"Design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting."
17-2072.00,5339,"Design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications."
17-2072.00,20497,Operate computer-assisted engineering or design software or equipment to perform electronics engineering tasks.
17-2072.00,20494,"Evaluate project work to ensure effectiveness, technical adequacy, or compatibility in the resolution of complex electronics engineering problems."
17-2072.00,5349,"Direct or coordinate activities concerned with manufacture, construction, installation, maintenance, operation, or modification of electronic equipment, products, or systems."
17-2072.00,20496,"Confer with engineers, customers, vendors, or others to discuss existing or potential electronics engineering projects or products."
17-2072.00,20499,Provide technical support or instruction to staff or customers regarding electronics equipment standards.
17-2072.00,20498,"Recommend repair or design modifications of electronics components or systems, based on factors such as environment, service, cost, or system capabilities."
17-2072.00,5348,"Prepare documentation containing information such as confidential descriptions or specifications of proprietary hardware or software, product development or introduction schedules, product costs, or information about product performance weaknesses."
17-2072.00,5350,"Develop or perform operational, maintenance, or testing procedures for electronic products, components, equipment, or systems."
17-2072.00,20495,"Analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility."
17-2072.00,5354,"Prepare, review, or maintain maintenance schedules, design documentation, or operational reports or charts."
17-2072.00,5346,"Inspect electronic equipment, instruments, products, or systems to ensure conformance to specifications, safety standards, or applicable codes or regulations."
17-2072.00,20493,Determine project material or equipment needs.
17-2072.00,5355,"Prepare necessary criteria, procedures, reports, or plans for successful conduct of the project with consideration given to site preparation, facility validation, installation, quality assurance, or testing."
17-2072.00,5351,"Plan or develop applications or modifications for electronic properties used in components, products, or systems to improve technical performance."
17-2072.00,5352,"Prepare engineering sketches or specifications for construction, relocation, or installation of equipment, facilities, products, or systems."
17-2072.00,20500,"Prepare budget or cost estimates for equipment, construction, or installation projects or control expenditures."
17-2072.00,19621,"Investigate green consumer electronics applications for consumer electronic devices, power saving devices for computers or televisions, or energy efficient power chargers."
17-2072.00,5357,"Represent employer at conferences, meetings, boards, panels, committees, or working groups to present, explain, or defend findings or recommendations, negotiate compromises or agreements, or exchange information."
17-2072.00,19623,"Research or develop new green electronics technologies, such as lighting, optical data storage devices, or energy efficient televisions."
17-2072.01,16363,Identify operational requirements for new systems to inform selection of technological solutions.
17-2072.01,16370,"Integrate tags, readers, or software in radio frequency identification device (RFID) designs."
17-2072.01,16354,Perform systems analysis or programming of radio frequency identification device (RFID) technology.
17-2072.01,16359,Test radio frequency identification device (RFID) software to ensure proper functioning.
17-2072.01,16360,Select appropriate radio frequency identification device (RFID) tags and determine placement locations.
17-2072.01,16361,"Perform site analyses to determine system configurations, processes to be impacted, or on-site obstacles to technology implementation."
17-2072.01,16362,Perform acceptance testing on newly installed or updated systems.
17-2072.01,16366,Determine means of integrating radio frequency identification device (RFID) into other applications.
17-2072.01,16353,Provide technical support for radio frequency identification device (RFID) technology.
17-2072.01,16371,"Collect data about existing client hardware, software, networking, or key business processes to inform implementation of radio frequency identification device (RFID) technology."
17-2072.01,16369,"Install, test, or maintain radio frequency identification device (RFID) systems."
17-2072.01,16358,Test tags or labels to ensure readability.
17-2072.01,16364,Determine usefulness of new radio frequency identification device (RFID) technologies.
17-2072.01,16351,Verify compliance of developed applications with architectural standards and established practices.
17-2072.01,16356,Train users in details of system operation.
17-2072.01,16365,"Develop process flows, work instructions, or standard operating procedures for radio frequency identification device (RFID) systems."
17-2072.01,16352,"Read current literature, attend meetings or conferences, or talk with colleagues to stay abreast of industry research about new technologies."
17-2072.01,16355,Document equipment or process details of radio frequency identification device (RFID) technology.
17-2072.01,16367,Define and compare possible radio frequency identification device (RFID) solutions to inform selection for specific projects.
17-2072.01,16368,Create simulations or models of radio frequency identification device (RFID) systems to provide information for selection and configuration.
17-2072.01,16357,Analyze radio frequency identification device (RFID)-related supply chain data.
17-2081.00,15210,"Design, or supervise the design of, systems, processes, or equipment for control, management, or remediation of water, air, or soil quality."
17-2081.00,1377,"Assess the existing or potential environmental impact of land use projects on air, water, or land."
17-2081.00,20195,"Collaborate with environmental scientists, planners, hazardous waste technicians, engineers, experts in law or business, or other specialists to address environmental problems."
17-2081.00,1374,Advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment.
17-2081.00,1373,Develop proposed project objectives and targets and report to management on progress in attaining them.
17-2081.00,1370,Monitor progress of environmental improvement programs.
17-2081.00,1366,"Prepare, review, or update environmental investigation or recommendation reports."
17-2081.00,20197,"Prepare, maintain, or revise quality assurance documentation or procedures."
17-2081.00,1379,"Develop site-specific health and safety protocols, such as spill contingency plans or methods for loading or transporting waste."
17-2081.00,1369,"Provide technical support for environmental remediation or litigation projects, including remediation system design or determination of regulatory applicability."
17-2081.00,19625,Prepare or present public briefings on the status of environmental engineering projects.
17-2081.00,1378,"Assist in budget implementation, forecasts, or administration."
17-2081.00,1380,"Coordinate or manage environmental protection programs or projects, assigning or evaluating work."
17-2081.00,1375,Advise industries or government agencies about environmental policies and standards.
17-2081.00,1368,"Obtain, update, or maintain plans, permits, or standard operating procedures."
17-2081.00,19624,Direct installation or operation of environmental monitoring devices or supervise related data collection programs.
17-2081.00,1371,Inspect industrial or municipal facilities or programs to evaluate operational effectiveness or ensure compliance with environmental regulations.
17-2081.00,1389,Request bids from suppliers or consultants.
17-2081.00,1376,Inform company employees or other interested parties of environmental issues.
17-2081.00,1381,"Serve as liaison with federal, state, or local agencies or officials on issues pertaining to solid or hazardous waste program requirements."
17-2081.00,1372,"Provide administrative support for projects by collecting data, providing project documentation, training staff, or performing other general administrative duties."
17-2081.00,1390,"Provide environmental engineering assistance in network analysis, regulatory analysis, or planning or reviewing database development."
17-2081.00,1385,Develop or present environmental compliance training or orientation sessions.
17-2081.00,20196,"Provide assistance with planning, quality assurance, safety inspection protocols, or sampling as part of a team conducting multimedia inspections at complex facilities."
17-2081.00,1387,"Develop, implement, or manage plans or programs related to conservation or management of natural resources."
17-2081.00,1383,Prepare hazardous waste manifests or land disposal restriction notifications.
17-2081.00,23987,Attend professional conferences to share information.
17-2081.00,19626,Write reports or articles for Web sites or newsletters related to environmental engineering issues.
17-2081.00,1388,"Assess, sort, characterize, or pack known or unknown materials."
17-2111.00,21860,"Investigate industrial accidents, injuries, or occupational diseases to determine causes and preventive measures."
17-2111.00,21861,Conduct research to evaluate safety levels for products.
17-2111.00,21862,Evaluate product designs for safety.
17-2111.00,21863,"Conduct or coordinate worker training in areas such as safety laws and regulations, hazardous condition monitoring, and use of safety equipment."
17-2111.00,21864,"Maintain and apply knowledge of current policies, regulations, and industrial processes."
17-2111.00,21865,"Recommend procedures for detection, prevention, and elimination of physical, chemical, or other product hazards."
17-2111.00,21866,"Report or review findings from accident investigations, facilities inspections, or environmental testing."
17-2111.00,21867,Evaluate potential health hazards or damage that could occur from product misuse.
17-2111.00,21868,Evaluate adequacy of actions taken to correct health inspection violations.
17-2111.00,21869,"Interpret safety regulations for others interested in industrial safety, such as safety engineers, labor representatives, and safety inspectors."
17-2111.00,21870,Review plans and specifications for construction of new machinery or equipment to determine whether all safety requirements have been met.
17-2111.00,21871,Participate in preparation of product usage and precautionary label instructions.
17-2111.00,21872,Interview employers and employees to obtain information about work environments and workplace incidents.
17-2111.00,21873,Provide expert testimony in litigation cases.
17-2111.00,21874,Review employee safety programs to determine their adequacy.
17-2111.00,21875,"Conduct or direct testing of air quality, noise, temperature, or radiation levels to verify compliance with health and safety regulations."
17-2111.00,21876,Provide technical advice and guidance to organizations on how to handle health-related problems and make needed changes.
17-2111.00,21877,Develop industry standards of product safety.
17-2111.00,21878,"Maintain liaisons with outside organizations, such as fire departments, mutual aid societies, and rescue teams, so that emergency responses can be facilitated."
17-2111.00,21879,Plan and conduct industrial hygiene research.
17-2111.00,21880,"Compile, analyze, and interpret statistical data related to occupational illnesses and accidents."
17-2111.00,21881,Write and revise safety regulations and codes.
17-2111.00,21882,Confer with medical professionals to assess health risks and to develop ways to manage health issues and concerns.
17-2111.00,21883,Design and build safety equipment.
17-2111.00,21884,Check floors of plants to ensure that they are strong enough to support heavy machinery.
17-2111.00,21885,"Inspect facilities, machinery, or safety equipment to identify and correct potential hazards, and to ensure safety regulation compliance."
17-2111.00,21886,Install safety devices on machinery or direct device installation.
17-2111.02,8984,"Advise architects, builders, and other construction personnel on fire prevention equipment and techniques and on fire code and standard interpretation and compliance."
17-2111.02,8982,"Design fire detection equipment, alarm systems, and fire extinguishing devices and systems."
17-2111.02,8983,"Inspect buildings or building designs to determine fire protection system requirements and potential problems in areas such as water supplies, exit locations, and construction materials."
17-2111.02,24004,Review building plans to verify compliance with fire code.
17-2111.02,20383,"Prepare and write reports detailing specific fire prevention and protection issues, such as work performed, revised codes or standards, and proposed review schedules."
17-2111.02,8988,Consult with authorities to discuss safety regulations and to recommend changes as necessary.
17-2111.02,8993,Evaluate fire department performance and the laws and regulations affecting fire prevention or fire safety.
17-2111.02,23902,"Direct the purchase, modification, installation, testing, maintenance, and operation of fire prevention and protection systems."
17-2111.02,8991,"Attend workshops, seminars, or conferences to present or obtain information regarding fire prevention and protection."
17-2111.02,8986,Determine causes of fires and ways in which they could have been prevented.
17-2111.02,8992,Develop training materials and conduct training sessions on fire protection.
17-2111.02,8990,Study the relationships between ignition sources and materials to determine how fires start.
17-2111.02,8989,"Develop plans for the prevention of destruction by fire, wind, and water."
17-2111.02,8994,Conduct research on fire retardants and the fire safety of materials and devices.
17-2112.00,18607,"Estimate production costs, cost saving methods, and the effects of product design changes on expenditures for management review, action, and control."
17-2112.00,1394,Plan and establish sequence of operations to fabricate and assemble parts or products and to promote efficient utilization.
17-2112.00,1391,Analyze statistical data and product specifications to determine standards and establish quality and reliability objectives of finished product.
17-2112.00,18609,"Confer with clients, vendors, staff, and management personnel regarding purchases, product and production specifications, manufacturing capabilities, or project status."
17-2112.00,1400,Communicate with management and user personnel to develop production and design standards.
17-2112.00,1407,Evaluate precision and accuracy of production and testing equipment and engineering drawings to formulate corrective action plan.
17-2112.00,1393,"Recommend methods for improving utilization of personnel, material, and utilities."
17-2112.00,1403,Record or oversee recording of information to ensure currency of engineering drawings and documentation of production problems.
17-2112.00,1398,"Draft and design layout of equipment, materials, and workspace to illustrate maximum efficiency using drafting tools and computer."
17-2112.00,1405,"Direct workers engaged in product measurement, inspection, and testing activities to ensure quality control and reliability."
17-2112.00,1392,"Develop manufacturing methods, labor utilization standards, and cost analysis systems to promote efficient staff and facility utilization."
17-2112.00,1399,"Review production schedules, engineering specifications, orders, and related information to obtain knowledge of manufacturing methods, procedures, and activities."
17-2112.00,1408,"Complete production reports, purchase orders, and material, tool, and equipment lists."
17-2112.00,18608,"Coordinate and implement quality control objectives, activities, or procedures to resolve production problems, maximize product reliability, or minimize costs."
17-2112.00,1406,"Implement methods and procedures for disposition of discrepant material and defective or damaged parts, and assess cost and responsibility."
17-2112.00,1395,"Apply statistical methods and perform mathematical calculations to determine manufacturing processes, staff requirements, and production standards."
17-2112.00,1404,"Study operations sequence, material flow, functional statements, organization charts, and project information to determine worker functions and responsibilities."
17-2112.00,1402,"Formulate sampling procedures and designs and develop forms and instructions for recording, evaluating, and reporting quality and reliability data."
17-2112.00,1410,Regulate and alter workflow schedules according to established manufacturing sequences and lead times to expedite production operations.
17-2112.00,1409,"Schedule deliveries based on production forecasts, material substitutions, storage and handling facilities, and maintenance requirements."
17-2112.01,16393,Collect data through direct observation of work activities or witnessing the conduct of tests.
17-2112.01,16378,"Conduct interviews or surveys of users or customers to collect information on topics, such as requirements, needs, fatigue, ergonomics, or interfaces."
17-2112.01,16396,"Advocate for end users in collaboration with other professionals, including engineers, designers, managers, or customers."
17-2112.01,16387,Inspect work sites to identify physical hazards.
17-2112.01,16381,"Prepare reports or presentations summarizing results or conclusions of human factors engineering or ergonomics activities, such as testing, investigation, or validation."
17-2112.01,16379,"Recommend workplace changes to improve health and safety, using knowledge of potentially harmful factors, such as heavy loads or repetitive motions."
17-2112.01,16383,"Perform functional, task, or anthropometric analysis, using tools, such as checklists, surveys, videotaping, or force measurement."
17-2112.01,16380,"Provide technical support to clients through activities, such as rearranging workplace fixtures to reduce physical hazards or discomfort or modifying task sequences to reduce cycle time."
17-2112.01,16392,Assess the user-interface or usability characteristics of products.
17-2112.01,16386,Establish system operating or training requirements to ensure optimized human-machine interfaces.
17-2112.01,16385,Integrate human factors requirements into operational hardware.
17-2112.01,16374,"Review health, safety, accident, or worker compensation records to evaluate safety program effectiveness or to identify jobs with high incidence of injury."
17-2112.01,16397,"Design or evaluate human work systems, using human factors engineering and ergonomic principles to optimize usability, cost, quality, safety, or performance."
17-2112.01,16372,"Write, review, or comment on documents, such as proposals, test plans, or procedures."
17-2112.01,16373,Train users in task techniques or ergonomic principles.
17-2112.01,16391,"Conduct research to evaluate potential solutions related to changes in equipment design, procedures, manpower, personnel, or training."
17-2112.01,16375,"Provide human factors technical expertise on topics, such as advanced user-interface technology development or the role of human users in automated or autonomous sub-systems in advanced vehicle systems."
17-2112.01,16388,"Develop or implement human performance research, investigation, or analysis protocols."
17-2112.01,16389,"Develop or implement research methodologies or statistical analysis plans to test and evaluate developmental prototypes used in new products or processes, such as cockpit designs, user workstations, or computerized human models."
17-2112.01,16377,Estimate time or resource requirements for ergonomic or human factors research or development projects.
17-2112.01,16390,"Design cognitive aids, such as procedural storyboards or decision support systems."
17-2112.01,16395,"Analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation."
17-2112.01,16376,"Investigate theoretical or conceptual issues, such as the human design considerations of lunar landers or habitats."
17-2112.01,16384,"Operate testing equipment, such as heat stress meters, octave band analyzers, motion analysis equipment, inclinometers, light meters, thermoanemometers, sling psychrometers, or colorimetric detection tubes."
17-2112.01,16382,"Perform statistical analyses, such as social network pattern analysis, network modeling, discrete event simulation, agent-based modeling, statistical natural language processing, computational sociology, mathematical optimization, or systems dynamics."
17-2112.01,16394,"Apply modeling or quantitative analysis to forecast events, such as human decisions or behaviors, the structure or processes of organizations, or the attitudes or actions of human groups."
